date,ticker,open,high,low,close,volume,insertion_time
2005-04-05,ETFMIB IM Equity,16.8279,16.8367,16.7278,16.7957,70152.0,2025-06-11 13:42:00
2005-04-06,ETFMIB IM Equity,16.8216,16.8667,16.805,16.8527,57609.0,2025-06-11 13:42:00
2005-04-07,ETFMIB IM Equity,16.8683,17.0119,16.8387,17.0031,78092.0,2025-06-11 13:42:00
2005-04-08,ETFMIB IM Equity,17.0186,17.0694,16.9735,16.9771,91463.0,2025-06-11 13:42:00
2005-04-11,ETFMIB IM Equity,16.9709,17.0648,16.9554,17.0238,132561.0,2025-06-11 13:42:00
2005-04-12,ETFMIB IM Equity,16.9932,17.0471,16.9139,16.9149,100364.0,2025-06-11 13:42:00
2005-04-13,ETFMIB IM Equity,17.014,17.0259,16.9289,16.9409,171533.0,2025-06-11 13:42:00
2005-04-14,ETFMIB IM Equity,16.8994,16.9201,16.8533,16.8683,108298.0,2025-06-11 13:42:00
2005-04-15,ETFMIB IM Equity,16.8476,16.8476,16.5308,16.5728,361665.0,2025-06-11 13:42:00
2005-04-18,ETFMIB IM Equity,16.4899,16.4899,15.9145,16.2151,278591.0,2025-06-11 13:42:00
2005-04-19,ETFMIB IM Equity,16.2602,16.268,16.1726,16.184,165646.0,2025-06-11 13:42:00
2005-04-20,ETFMIB IM Equity,16.2514,16.2763,16.0912,16.127,40794.0,2025-06-11 13:42:00
2005-04-21,ETFMIB IM Equity,16.1011,16.2773,16.1,16.241,51541.0,2025-06-11 13:42:00
2005-04-22,ETFMIB IM Equity,16.3266,16.3458,16.2825,16.3032,115271.0,2025-06-11 13:42:00
2005-04-25,ETFMIB IM Equity,16.2996,16.3292,16.24,16.324,15325.0,2025-06-11 13:42:00
2005-04-26,ETFMIB IM Equity,16.4121,16.4121,16.2151,16.267,58810.0,2025-06-11 13:42:00
2005-04-27,ETFMIB IM Equity,16.2644,16.2644,16.0482,16.0648,88786.0,2025-06-11 13:42:00
2005-04-28,ETFMIB IM Equity,16.1451,16.1711,16.0,16.0544,53198.0,2025-06-11 13:42:00
2005-04-29,ETFMIB IM Equity,16.0415,16.1581,16.0052,16.1011,40728.0,2025-06-11 13:42:00
2005-05-02,ETFMIB IM Equity,16.1249,16.24,16.1171,16.2359,125391.0,2025-06-11 13:42:00
2005-05-03,ETFMIB IM Equity,16.1939,16.2638,16.169,16.2307,102883.0,2025-06-11 13:42:00
2005-05-04,ETFMIB IM Equity,16.2804,16.2903,16.1949,16.2566,102563.0,2025-06-11 13:42:00
2005-05-05,ETFMIB IM Equity,16.3032,16.3717,16.2944,16.3603,192079.0,2025-06-11 13:42:00
2005-05-06,ETFMIB IM Equity,16.3209,16.3499,16.254,16.324,155874.0,2025-06-11 13:42:00
2005-05-09,ETFMIB IM Equity,16.3084,16.3758,16.2654,16.2929,26818.0,2025-06-11 13:42:00
2005-05-10,ETFMIB IM Equity,16.3349,16.3696,16.1529,16.1581,118042.0,2025-06-11 13:42:00
2005-05-11,ETFMIB IM Equity,16.1498,16.2556,16.1151,16.1892,108445.0,2025-06-11 13:42:00
2005-05-12,ETFMIB IM Equity,16.2426,16.3349,16.2426,16.2981,187984.0,2025-06-11 13:42:00
2005-05-13,ETFMIB IM Equity,16.2462,16.3188,16.2281,16.2773,122147.0,2025-06-11 13:42:00
2005-05-16,ETFMIB IM Equity,16.2908,16.3432,16.2773,16.2981,50633.0,2025-06-11 13:42:00
2005-05-17,ETFMIB IM Equity,16.3385,16.3489,16.1368,16.1788,158962.0,2025-06-11 13:42:00
2005-05-18,ETFMIB IM Equity,16.3318,16.4328,16.1944,16.4121,146156.0,2025-06-11 13:42:00
2005-05-19,ETFMIB IM Equity,16.4536,16.4821,16.4074,16.4743,173559.0,2025-06-11 13:42:00
2005-05-20,ETFMIB IM Equity,16.4588,16.5132,16.4328,16.4691,223601.0,2025-06-11 13:42:00
2005-05-23,ETFMIB IM Equity,16.4847,16.6651,16.4774,16.635,213546.0,2025-06-11 13:42:00
2005-05-24,ETFMIB IM Equity,16.636,16.6791,16.5754,16.6454,202712.0,2025-06-11 13:42:00
2005-05-25,ETFMIB IM Equity,16.6402,16.7091,16.6065,16.6454,203741.0,2025-06-11 13:42:00
2005-05-26,ETFMIB IM Equity,16.6708,16.7822,16.6708,16.7594,143606.0,2025-06-11 13:42:00
2005-05-27,ETFMIB IM Equity,16.7662,16.7698,16.6609,16.692,56972.0,2025-06-11 13:42:00
2005-05-30,ETFMIB IM Equity,16.7133,16.7926,16.7003,16.7905,53483.0,2025-06-11 13:42:00
2005-05-31,ETFMIB IM Equity,16.7828,16.8009,16.7371,16.7387,99817.0,2025-06-11 13:42:00
2005-06-01,ETFMIB IM Equity,16.8164,16.9134,16.7802,16.8994,93450.0,2025-06-11 13:42:00
2005-06-02,ETFMIB IM Equity,16.9129,16.9668,16.8911,16.9253,30514.0,2025-06-11 13:42:00
2005-06-03,ETFMIB IM Equity,16.9512,17.0108,16.8268,16.8631,108361.0,2025-06-11 13:42:00
2005-06-06,ETFMIB IM Equity,16.8341,16.9253,16.7936,16.8061,84982.0,2025-06-11 13:42:00
2005-06-07,ETFMIB IM Equity,16.8672,16.9512,16.8294,16.9409,115993.0,2025-06-11 13:42:00
2005-06-08,ETFMIB IM Equity,16.8952,16.9927,16.8875,16.9668,124171.0,2025-06-11 13:42:00
2005-06-09,ETFMIB IM Equity,16.9409,17.0259,16.9082,17.0031,173876.0,2025-06-11 13:42:00
2005-06-10,ETFMIB IM Equity,17.029,17.1171,17.029,17.0756,53807.0,2025-06-11 13:42:00
2005-06-13,ETFMIB IM Equity,17.0549,17.1778,17.0549,17.1275,242248.0,2025-06-11 13:42:00
2005-06-14,ETFMIB IM Equity,17.1705,17.2363,17.1394,17.2052,73319.0,2025-06-11 13:42:00
2005-06-15,ETFMIB IM Equity,17.2249,17.2799,17.1586,17.2001,91644.0,2025-06-11 13:42:00
2005-06-16,ETFMIB IM Equity,17.3141,17.3141,17.169,17.2104,87890.0,2025-06-11 13:42:00
2005-06-17,ETFMIB IM Equity,17.2804,17.3141,17.2265,17.2467,65893.0,2025-06-11 13:42:00
2005-06-20,ETFMIB IM Equity,17.2726,17.2752,17.1949,17.2208,87844.0,2025-06-11 13:42:00
2005-06-21,ETFMIB IM Equity,17.2581,17.3229,17.2426,17.2674,148194.0,2025-06-11 13:42:00
2005-06-22,ETFMIB IM Equity,17.2882,17.3659,17.2104,17.2934,47773.0,2025-06-11 13:42:00
2005-06-23,ETFMIB IM Equity,17.298,17.325,17.1949,17.2571,72915.0,2025-06-11 13:42:00
2005-06-24,ETFMIB IM Equity,17.1845,17.1845,17.1042,17.1067,49834.0,2025-06-11 13:42:00
2005-06-27,ETFMIB IM Equity,17.0616,17.0642,16.8009,16.9357,81966.0,2025-06-11 13:42:00
2005-06-28,ETFMIB IM Equity,16.9792,17.1119,16.9704,17.0964,96079.0,2025-06-11 13:42:00
2005-06-29,ETFMIB IM Equity,17.1078,17.2078,17.0964,17.1897,108880.0,2025-06-11 13:42:00
2005-06-30,ETFMIB IM Equity,17.1778,17.2939,17.1658,17.2312,103045.0,2025-06-11 13:42:00
2005-07-01,ETFMIB IM Equity,17.2166,17.3483,17.2089,17.3296,72282.0,2025-06-11 13:42:00
2005-07-04,ETFMIB IM Equity,17.3633,17.4002,17.3348,17.3608,105321.0,2025-06-11 13:42:00
2005-07-05,ETFMIB IM Equity,17.3815,17.425,17.2503,17.3141,92662.0,2025-06-11 13:42:00
2005-07-06,ETFMIB IM Equity,17.397,17.4618,17.3867,17.4333,69776.0,2025-06-11 13:42:00
2005-07-07,ETFMIB IM Equity,17.3877,17.3877,16.6402,17.1327,481194.0,2025-06-11 13:42:00
2005-07-08,ETFMIB IM Equity,17.2659,17.4178,17.2389,17.397,109505.0,2025-06-11 13:42:00
2005-07-11,ETFMIB IM Equity,17.4696,17.5992,17.4696,17.5681,87211.0,2025-06-11 13:42:00
